maxIterations,maxTabuCount,maxCandidates,solution,efficacy,executionTime
100,20,30,17770.9,5.89,1.75
100,60,30,18578.01,6.2,2.53
100,100,30,18550.25,6.19,3.15
130,20,30,16561.44,5.42,2.17
130,60,30,16450.83,5.38,3.54
130,100,30,15418.66,4.98,4.59
170,20,30,13908.74,4.39,2.85
170,60,30,13635.82,4.29,4.3
170,100,30,14365.76,4.57,5.7
200,20,30,12503.88,3.85,3.37
200,60,30,12602.84,3.89,5.13
200,100,30,12596.62,3.88,7.0
100,20,100,15678.26,5.08,5.6
100,60,100,15313.96,4.94,8.42
100,100,100,15436.73,4.99,11.42
130,20,100,13161.08,4.1,8.03
130,60,100,13399.77,4.2,13.06
130,100,100,13355.71,4.18,14.86
170,20,100,10446.04,3.05,9.8
170,60,100,10770.69,3.18,14.85
170,100,100,10212.54,2.96,19.42
200,20,100,9106.3,2.53,11.79
200,60,100,9917.5,2.85,19.43
200,100,100,9542.41,2.7,24.09
100,140,30,18889.98,6.32,3.77
100,160,30,18613.38,6.22,3.96
100,200,30,17822.0,5.91,3.88
130,140,30,17060.0,5.61,5.41
130,160,30,16253.02,5.3,5.79
130,200,30,16003.46,5.21,6.9
170,140,30,13834.32,4.36,8.88
170,160,30,13705.7,4.31,8.76
170,200,30,14322.32,4.55,9.23
200,140,30,12466.13,3.83,9.47
200,160,30,12719.03,3.93,9.47
200,200,30,12169.31,3.72,10.94
100,140,100,15361.42,4.96,12.2
100,160,100,16402.89,5.36,12.73
100,200,100,15462.33,5.0,13.48
130,140,100,12873.98,3.99,17.99
130,160,100,12825.81,3.97,19.31
130,200,100,13586.54,4.27,20.79
170,140,100,10525.62,3.08,25.23
170,160,100,10158.72,2.94,26.69
170,200,100,10412.09,3.04,29.24
200,140,100,9673.68,2.75,29.44
200,160,100,9324.47,2.62,32.0
200,200,100,9392.08,2.64,35.76
